Unnamed: 0,price,condition,district,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
5546,130000,newly repaired,Center,5,Sayat Nova Ave,3,Yerevan,96,http://www.myrealty.am/en/item/28244/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
2979,82189,very good,Arabkir,6,Hr.Kochar Streettttt,3,Yerevan,78,http://www.myrealty.am/en/item/18029/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
2698,134030,good,Center,11,M.Khorenatsi St,3,Yerevan,90,http://www.myrealty.am/en/item/37797/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
4548,64533,newly repaired,Center,15,Argishti St,2,Yerevan,53,http://www.myrealty.am/en/item/36153/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,5,3
2982,73258,newly repaired,Center,13,Mashtots Ave,2,Yerevan,47,http://www.myrealty.am/en/item/17566/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
4556,105827,newly repaired,Center,11,Saryan St,2,Yerevan,71,http://www.myrealty.am/en/item/16710/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
3610,67000,newly repaired,Center,11,NarDos St,3,Yerevan,65,http://www.myrealty.am/en/item/21337/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
2844,76640,good,Arabkir,17,V.Papazyan St,4,Yerevan,107,http://www.myrealty.am/en/item/23790/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,16,2.8
6099,130000,newly repaired,Arabkir,10,A. Avetisyan St,4,Yerevan,140,http://www.myrealty.am/en/item/29146/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,6,2.8
5360,98000,zero condition,Center,6,Pushkin St,3,Yerevan,95,http://www.myrealty.am/en/item/31230/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
471,75165,newly repaired,Arabkir,7,Hakobyan St,2,Yerevan,47,http://www.myrealty.am/en/item/28068/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,6,3
5381,130123,newly repaired,Center,6,Paronyan St,3,Yerevan,91,http://www.myrealty.am/en/item/18451/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,2.8
443,59261,good,Arabkir,6,Baghramyan av(Arabkir),1,Yerevan,39,http://www.myrealty.am/en/item/11091/Apartment-for-sale-in-Yerevan,1,stone,2,2.8
1664,209693,newly repaired,Center,13,Sayat Nova Ave,3,Yerevan,100,http://www.myrealty.am/en/item/29544/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,5,2.8
4320,62418,good,Arabkir,15,V.Vagharshyan St,2,Yerevan,40,http://www.myrealty.am/en/item/8007/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,7,2.8
1705,110792,newly repaired,Arabkir,10,Komitas Ave,4,Yerevan,100,http://www.myrealty.am/en/item/36826/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,3
3706,67990,newly repaired,Center,11,NarDos St,3,Yerevan,65,http://www.myrealty.am/en/item/21337/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
894,41327,good,Malatia-Sebastia,10,A. Babajanyan St,3,Yerevan,73,http://www.myrealty.am/en/item/37750/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,9,2.8
2652,88746,newly repaired,Center,11,Saryan St,2,Yerevan,71,http://www.myrealty.am/en/item/36863/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,6,2.8
3796,42001,good,Arabkir,6,Komitas Ave,2,Yerevan,44,http://www.myrealty.am/en/item/33404/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,1,2.8
5221,58007,newly repaired,Erebuni,10,Khaghagh Don St,3,Yerevan,87,http://www.myrealty.am/en/item/35274/3-senyakanoc-bnakaran-vacharq-Yerevan-Erebuni,1,panel,6,2.8
1474,58060,good,Center,10,Pushkin St,1,Yerevan,40,http://www.myrealty.am/en/item/36426/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
6729,87587,newly repaired,Center,17,Tsitsernakaberd Highway,2,Yerevan,84,http://www.myrealty.am/en/item/17922/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,5,3
5883,153581,zero condition,Arabkir,14,Komitas Ave,4,Yerevan,148,http://www.myrealty.am/en/item/15798/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,3,monolit,11,3
2347,122264,newly repaired,Center,6,Koryun St,3,Yerevan,105,http://www.myrealty.am/en/item/17310/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,4,2.8
1816,141329,newly repaired,Arabkir,16,Mamikoniants St,4,Yerevan,104,http://www.myrealty.am/en/item/36212/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,other,13,2.8
5501,50507,good,Center,12,Heratsi St,2,Yerevan,43,http://www.myrealty.am/en/item/32849/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,10,2.8
638,248096,good,Center,23,Vardanants St,3,Yerevan,128,http://www.myrealty.am/en/item/22005/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,4,3
1149,48885,newly repaired,Achapnyak,13,Margaryan St,2,Yerevan,66,http://www.myrealty.am/en/item/15171/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,12,2.8
6524,170114,newly repaired,Center,15,Aram St,2,Yerevan,102,http://www.myrealty.am/en/item/24677/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,9,2.8
682,36437,good,Arabkir,17,Arabkir 51 St,1,Yerevan,48,http://www.myrealty.am/en/item/17216/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,15,2.8
5195,125101,newly repaired,Arabkir,6,Babayan St,3,Yerevan,116,http://www.myrealty.am/en/item/35996/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,2,monolit,2,3.2
4206,62414,newly repaired,Achapnyak,5,Halabyan St,4,Yerevan,88,http://www.myrealty.am/en/item/26455/4-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,stone,4,3
533,101666,good,Center,4,Bayron St,2,Yerevan,54,http://www.myrealty.am/en/item/38043/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,2.8
679,47452,newly repaired,Arabkir,5,Arabkir 39 St,2,Yerevan,48,http://www.myrealty.am/en/item/14853/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,2.6
4334,66923,newly repaired,Davtashen,11,Davtashen 1 district,3,Yerevan,96,http://www.myrealty.am/en/item/32886/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,8,2.8
1398,158191,good,Center,6,Sayat Nova Ave,3,Yerevan,95,http://www.myrealty.am/en/item/32317/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
2501,107539,good,Center,6,Nalbandyan St,2,Yerevan,73,http://www.myrealty.am/en/item/32256/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,2.8
960,80631,newly repaired,Arabkir,17,A. Avetisyan St,3,Yerevan,72,http://www.myrealty.am/en/item/38131/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,3,2.8
6380,198180,newly repaired,Center,16,Aram St,3,Yerevan,115,http://www.myrealty.am/en/item/34036/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,15,3
6773,41672,zero condition,Malatia-Sebastia,10,Z.Andranik St,3,Yerevan,71,http://www.myrealty.am/en/item/22656/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,9,2.8
6356,198147,newly repaired,Center,6,Abovyan St,3,Yerevan,81,http://www.myrealty.am/en/item/24272/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3
4993,84578,newly repaired,Achapnyak,10,Leningradyan St,4,Yerevan,102,http://www.myrealty.am/en/item/31412/4-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,1,2.8
3117,91867,newly repaired,Arabkir,4,Ghapantsian St,3,Yerevan,90,http://www.myrealty.am/en/item/20499/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,3.2
3116,56445,zero condition,Nor Norq,13,Gyuliqevxyan St,2,Yerevan,68,http://www.myrealty.am/en/item/35581/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,monolit,5,3
1209,43128,good,Nor Norq,10,Jrvej district,3,Yerevan,77,http://www.myrealty.am/en/item/36593/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,6,2.8
268,33025,newly repaired,Qanaqer-Zeytun,6,Sevak St,1,Yerevan,32,http://www.myrealty.am/en/item/37968/1-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,3,2.8
1243,48289,good,Avan,10,Tumanyan district,3,Yerevan,76,http://www.myrealty.am/en/item/23828/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,8,2.8
6540,137317,good,Center,5,Abovyan St,4,Yerevan,110,http://www.myrealty.am/en/item/18234/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,stone,2,3.2
